"Region Name (GO)","ONS LACode","ONS LA Name","CP","S Ref E","S Ref N","Road","A-Junction","A Ref E","A Ref N","B-Junction","B Ref E","B Ref N","RCat","iDir","Year","dCount","Hour","PC","2WMV","CAR","BUS","LGV","HGVR2","HGVR3","HGVR4","HGVA3","HGVA5","HGVA6","HGV","AMV"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","11","0","13","1633","13","329","46","6","16","1","21","14","104","2092"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","12","0","19","1572","20","318","63","15","7","0","22","15","122","2051"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","13","0","18","1708","16","326","79","16","9","3","5","18","130","2198"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","14","0","15","1561","20","245","66","15","14","7","13","22","137","1978"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","15","0","19","1799","17","374","63","9","12","3","6","17","110","2319"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","16","0","33","2319","39","331","34","5","7","0","8","12","66","2788"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","17","0","43","2583","22","238","18","3","2","3","8","5","39","2925"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","E","2010","2010-06-15 00:00:00","18","0","32","2341","19","189","11","1","1","1","6","8","28","2609"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","7","0","40","2876","26","524","66","15","20","6","14","19","140","3606"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","8","0","34","2940","38","474","55","9","13","6","18","13","114","3600"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","9","0","10","1748","26","451","66","16","5","10","22","24","143","2378"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","10","0","15","1498","24","397","64","17","8","6","21","22","138","2072"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","11","0","19","1704","16","402","70","14","15","6","21","15","141","2282"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","12","0","17","1950","13","406","46","16","7","3","22","18","112","2498"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","13","0","29","2040","32","428","55","15","9","1","23","11","114","2643"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","14","0","20","2305","30","416","38","10","9","1","21","10","89","2860"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","15","0","31","2479","26","452","50","13","10","4","18","11","106","3094"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","16","0","84","3521","35","458","33","8","9","1","14","16","81","4179"
"South West","E06000023","Bristol, City of","56033","360660","174600","M32","A4320","360230","174350","2","361150","175250","TM","W","2010","2010-06-15 00:00:00","17","0","81","3882","49","351","19","3","4","1","11","10","48","4411"
